Designation,LCDB_Period [hours],Best_Period [hours],Manual_Overwrite,Reliability_Flag,Comments,#Minima,Chi2_g,Chi2_r,Avg_Chi2,N_obs_g,N_obs_r,Amplitude,Peak_Period,Half_Period,Twice_Period,Diameter,Diameter_Unit
160135,,47.803,,2,,2,0.6131324688,0.8571791497,0.7351558092,88,143,0.1207438041,23.848,11.976,47.803,,
160140,,9.036,18.072,3,,2,0.5110543242,0.6432513731,0.5771528487,56,101,0.4622747772,9.036,4.24,18.072,19.285,km
161717,,5.784,,3,,2,0.5146494704,0.5283844687,0.5215169695,62,78,0.1632645453,5.784,2.893,11.436,19.053,km
163256,,71.858,,2,,1,0.5301216839,0.5396903545,0.5349060192,68,93,0.3394100139,71.858,35.92,71.956,17.152,km
167686,,71.499,,2,,2,0.7579087519,0.7073238631,0.7326163075,72,79,0.132307452,71.499,35.829,71.691,17.679,km
171424,,8.414,15.559,2,,2,0.5493182413,0.5786513064,0.5639847738,66,90,0.07183412517,15.559,8.414,31.119,,
192222,,8.211,,2,,2,0.7136948119,0.7547053815,0.7342000967,69,73,0.136341928,8.211,4.106,16.917,19.361,km
192964,6.23,13.326,7.146,2,,2,0.6467345328,0.7054759978,0.6761052653,59,88,0.1001499715,13.326,7.146,15.016,14.539,km
197593,,47.224,,2,,2,0.4809719861,0.456552929,0.4687624576,69,92,0.07297943162,25.635,11.929,47.224,18.252,km
200029,,12.309,,2,,2,0.5605766525,0.7267590069,0.6436678297,84,197,0.0589892958,26.651,12.309,56.693,20.82,km
200057,,71.976,,1,,2,0.4230089237,0.657602474,0.5403056988,47,97,0.1298072801,69.619,35.591,71.976,,
202752,,47.747,,1,,2,0.7770156667,0.9142237026,0.8456196847,114,175,0.1330078374,47.747,23.989,71.757,21.469,km
202783,,71.874,,1,,2,0.55360772,0.6488828315,0.6012452757,125,142,0.1583853677,71.874,35.946,71.959,21.531,km
224020,,47.85,,1,,1,0.6646745156,0.6222734211,0.6434739684,118,170,0.2293259533,47.85,23.919,71.773,,
228102,7.259,1.78,,1,,1,0.6068359574,0.5962383482,0.6015371528,62,89,0.1599190772,1.78,0.872,3.399,,
236878,,19.302,,1,,3,0.4742694461,0.6098730774,0.5420712618,57,75,0.1063896209,19.302,8.925,36.574,12.965,km
254691,,10.062,,3,,2,0.6007877644,0.5600730908,0.5804304276,51,84,0.2486553617,5.031,2.599,10.062,,
257206,,11.991,,2,,2,0.5970112266,0.4471361116,0.5220736691,84,98,0.102959568,23.859,11.991,47.716,14.791,km
257946,,9.39,,3,,2,0.6001942808,0.7225717874,0.6613830341,67,89,0.158681168,9.39,4.695,17.522,,
263825,,11.193,,3,,2,0.5330034202,0.5893265119,0.5611649661,91,113,0.130264966,11.193,5.596,21.912,,
263840,,71.877,,2,,2,0.5445765268,0.759152114,0.6518643204,73,98,0.1484111997,71.877,35.971,71.934,,
